id,word,definition,instruction,source,category
36,minute,Unit of time equal to 60 seconds.,"With both palms oriented toward each other, place your dominant hand near the top of the fingers of your non-dominant hand. Then, slightly move the index finger of your dominant hand back and forth a couple of times.",https://d2drp7fo8uq4gv.cloudfront.net/3e9906b6-03d6-49a6-805d-14738ad0e395.mp4,time
164,accountant,Person who manages financial records.,"Slide the fingertips of the thumb and index finger of your dominant hand across the palm of your non-dominant hand 2 times, then sign ""person"". This sign is a combination of the signs for ""count"" and ""person"".",https://d2drp7fo8uq4gv.cloudfront.net/53fa3032-2081-4067-a5bb-b261a83ff5e1.mp4,job
8,boy,A male child.,Begin with your hand in front of your forehead and bring your fingertips together 2 times.,https://d2drp7fo8uq4gv.cloudfront.net/c8be36a3-ef5f-4f00-a1a8-ede6c09da594.mp4,people
68,use,Employ for a purpose.,"Begin with both hands in front of you with the wrist of your dominant hand slightly above the back of your non-dominant hand. Then, move your dominant hand slightly to the side a couple of times, making contact with the back of your dominant hand each time.",https://d2drp7fo8uq4gv.cloudfront.net/58f0f7f1-e67c-4cd6-8ccb-88fe0bc2afc3.mp4,activity
195,tree,Woody plant with trunk and branches.,"Begin with your non-dominant hand underneath the elbow of your dominant hand. Your dominant hand should be vertical with the palm of your dominant hand oriented to the inside. Then, slightly rotate your wrist from side to side a couple of times.",https://d2drp7fo8uq4gv.cloudfront.net/8fbc35ef-833e-4bc0-a4f8-497818b81467.mp4,plant
88,talk,Engage in speech.,"Begin with both hands in a ""1"" handshape near, but slightly below your face. Alternate moving your index fingers from both hands away and towards yourself a couple of times.",https://d2drp7fo8uq4gv.cloudfront.net/0f7acdb9-8ef7-4a94-afb9-0ff2f570b1bf.mp4,activity
65,work,Engage in a job or task.,"Tap the wrist area of your dominant hand on top of the back of your non-dominant hand. Your dominant hand should be vertical and oriented away from yourself, and your non-dominant hand should be oriented down and set out in front of you.",https://d2drp7fo8uq4gv.cloudfront.net/575d70d4-6234-48d3-acb2-e082e31cd7d7.mp4,activity
89,ask,Request information or action.,"Begin with both palms against each other with all your fingers except for your thumbs facing forwards. Then, rotate your hands up until those fingers are facing upwards.",https://d2drp7fo8uq4gv.cloudfront.net/5590f7aa-80c4-4092-bb7b-39ca8a1c1d2b.mp4,activity
173,fish,Aquatic animal used as food.,"Begin with your hand near your shoulder and your hand turned so that your thumb is facing up. Then move your hand away from you, while wiggling your hand, mimicking the movement of a fish through the water.",https://d2drp7fo8uq4gv.cloudfront.net/215e548b-a4c1-4630-812f-f8c7a4b1dedc.mp4,food & drink
154,glasses,Frames holding lenses for vision.,Move your hands against your face a couple of times with your thumb and index fingers making the outline of eyeglasses.,https://d2drp7fo8uq4gv.cloudfront.net/8bc4bac0-9a1b-4bf4-bdd6-0d05159c205f.mp4,thing
199,leaf,Flat green part of a plant.,"Begin with your dominant hand oriented down and the index finger of your non-dominant hand against the wrist of your dominant hand. Then, slightly rotate your wrist back and forth a couple of times.",https://d2drp7fo8uq4gv.cloudfront.net/bb5cfba9-6101-45d8-8e8e-2d93f210b69c.mp4,plant
190,pig,Domesticated swine.,"Place your hand underneath your chin with your palm oriented down. Then, bend your fingers down a couple of times.",https://d2drp7fo8uq4gv.cloudfront.net/a9b7176b-d814-4f3c-bb0c-ba47b2c36dc5.mp4,animal
98,give,Hand over to someone.,"Begin with both hands next to each other in front of you with your palms oriented toward yourself. Your hands should be pointing up when you begin, then you should bend your hands down until your hands are pointing away from yourself.",https://d2drp7fo8uq4gv.cloudfront.net/9e8fc657-47cc-47c1-b20c-0ebec53efa1e.mp4,activity
94,watch,Observe attentively.,"Begin with both hands next to each other in front of you with your palms oriented down and your index and middle fingers pointing forward. Then, slightly move your hands forward a couple of times.",https://d2drp7fo8uq4gv.cloudfront.net/51430c23-3dc5-4ca1-ad70-642201d9b87d.mp4,activity
17,where,Question word asking about location.,"With your hand in front of you in a ""1"" handshape and your palm oriented away from yourself, wiggle your index finger from side to side a couple of times.",https://d2drp7fo8uq4gv.cloudfront.net/a1b0e53d-7ecc-49d6-80a4-324ab63fec73.mp4,question
125,in,Inside or within.,Move the fingertips of your dominant hand into the gap in-between the thumb and your other fingers of your non-dominant hand 2 times.,https://d2drp7fo8uq4gv.cloudfront.net/96c6ebae-c524-47ab-b6a7-efffa4429ce9.mp4,preposition
149,book,Written or printed work.,"Begin with your palms against each other with your fingers facing forward. Then, open your hands up until your palms are oriented upwards.",https://d2drp7fo8uq4gv.cloudfront.net/513e6681-4562-4781-8a7e-8befd799cd2c.mp4,thing
93,look,Direct one’s gaze.,"With your hands oriented toward each other, move them both in a staggered, circular motion that move from above your shoulders to in front of your face a couple of times.",https://d2drp7fo8uq4gv.cloudfront.net/8166911d-2b5f-4355-919e-c2def695af4d.mp4,activity
96,try,Attempt to do something.,"Begin with both hands next to each other in front of you with your palms oriented toward yourself. Then, move your hands forward while rotating your wrist forward until your palms are oriented away from yourself.",https://d2drp7fo8uq4gv.cloudfront.net/2d55d247-6561-4225-8ec5-492b907469ad.mp4,activity
104,fine,Feeling okay or well.,"Begin with your hand in a ""5"" handshape with the thumb of your hand touching your chest. Then move your hand away from yourself while slightly rotating your wrist.",https://d2drp7fo8uq4gv.cloudfront.net/976d60f9-67ff-48a9-b02d-32febad23a8e.mp4,feeling
126,out,To the outside.,"Begin with your dominant hand inside the gap between the thumb and other fingers of your non-dominant hand. Then, move your dominant hand out and away from your non-dominant hand while bringing your fingertips together.",https://d2drp7fo8uq4gv.cloudfront.net/fb326f29-2d4e-4c01-8584-245db8f7647f.mp4,preposition
185,animal,Living organism that moves and feeds.,Begin with the fingertips of both hands touching near your shoulders. Move your wrists inwards a couple of times while keeping your fingertips in the same area.,https://d2drp7fo8uq4gv.cloudfront.net/d7e46092-0370-42dc-99fc-626f50568b2b.mp4,animal
168,driver,Person who operates a vehicle.,"This sign is a combination of the signs for ""car"" and ""person""",https://d2drp7fo8uq4gv.cloudfront.net/3c6fbcc5-be7a-47e0-85be-8ee46ee89f15.mp4,job
77,make,Create or build.,Begin with the pinkie side of your dominant hand on the thumb side of your dominant hand with both palms oriented toward yourself. Bend your wrists forward a couple of times while keeping your hands together.,https://d2drp7fo8uq4gv.cloudfront.net/25655b80-e6fc-402a-956d-ef5942aa14bc.mp4,activity
139,post office,Place that handles mail.,"Place your hand in front of you and sign the letters ""P"" then ""O"".",https://d2drp7fo8uq4gv.cloudfront.net/938ae0c9-daed-4b56-b6fc-f3dbe8a67267.mp4,
87,tell,Communicate information.,Begin with your index finger below your mouth and your palm oriented towards yourself. Then bring your hand forward until your index finger is pointing away from yourself.,https://d2drp7fo8uq4gv.cloudfront.net/5549d067-67b8-44d9-9080-be2ddd06c708.mp4,activity
90,answer,Respond to a question.,"Begin with both hands in a ""1"" handshape. The index finger of your dominant hand should be touching your chin. Both hands should begin with your palms oriented away from yourself and your wrists bent back. Then you should bend both wrist forwards until your palms are oriented downwards.",https://d2drp7fo8uq4gv.cloudfront.net/88e4b23a-0e39-475f-b06e-b8a94cf638c3.mp4,activity
2,you,Second-person pronoun addressing the listener.,Point directly in front of yourself with your index finger while moving your hand slightly forward.,https://d2drp7fo8uq4gv.cloudfront.net/a662f535-c9cd-4397-b35a-4ad1b00fa8c1.mp4,pronouns
179,water,Clear liquid essential for life.,"Place your hand in front of you with your index, middle, and ring fingers facing up, with your index finger closest to your chin. Then move your hand to your face and make contact with your index finger to your chin 2 times.",https://d2drp7fo8uq4gv.cloudfront.net/07728636-f8b6-404c-8fd1-89d70581c050.mp4,food & drink
14,people,Human beings collectively.,"With both hands next to each other in front of you, stagger making a forward circular motion with each hand a couple of times.",https://d2drp7fo8uq4gv.cloudfront.net/1747fce8-0851-4f07-ac56-995302b26aa7.mp4,people
140,office,Workspace in a business.,"Begin with both hands in front of you with your non-dominant hand closer to yourself and both palms oriented toward yourself. Then, bend both wrists forward so that your palms are oriented away from yourself.",https://d2drp7fo8uq4gv.cloudfront.net/3a8bcf6f-8d76-4a35-969c-62d510f08802.mp4,
6,they,Third-person plural pronoun.,"To sign ""They"" in ASL, extend your dominant index finger and point toward the group of people or the space you have assigned to them. Move your hand in a small, horizontal sweeping motion or arc while pointing.",https://www.handspeak.com/word/t/the/they.mp4,pronouns
110,cold,Low in temperature.,"Place your hand in front of your face with your thumb and index fingers near your nose. Move your hand down a couple of times, bringing your thumb and index fingers together as you move your hand down. This sign mimics a person wiping their nose because of having a cold.",https://d2drp7fo8uq4gv.cloudfront.net/de0ee298-6c92-4ac9-b001-21fa5ee8a7e4.mp4,attribute
106,bad,Not good or unpleasant.,Begin with your dominant hand facing towards yourself and your fingers touching your mouth. Bring your dominant hand down to your non-dominant hand while rotating your wrist so that the sign ends with both hands facing towards each other with your hands together.,https://d2drp7fo8uq4gv.cloudfront.net/c6eefba4-285d-435d-a067-65c87158e2af.mp4,feeling
16,what,Question word asking for information.,"Begin with both hands next to each other in front of you with your palms oriented up. Then, slightly move your hands from side to side in opposite directions a couple of times.",https://d2drp7fo8uq4gv.cloudfront.net/93eb455c-e696-44ed-838a-6ac4b433b3df.mp4,question
151,phone,Device for voice communication.,"Mimic the motion of putting a rotary phone up to the side of your head, by place your hand up to the side of your head, with your pinkie near your chin and your thumb at your ear.",https://d2drp7fo8uq4gv.cloudfront.net/90ba8822-3ca1-4fe2-ac11-99b825548732.mp4,thing
70,think,Have a thought or consider.,"Begin with your palm oriented toward yourself and the fingertips of your hand next to the side of your forehead. Then, move your hand in a circular motion around the side of your forehead while moving your fingers in different directions up and down.",https://d2drp7fo8uq4gv.cloudfront.net/3153b05b-1329-4dda-a4f3-8d0a9d7771ba.mp4,activity
53,leave,Go away from a place.,Begin with your hands next to each other and away from your body. Bring both hands toward yourself while bringing your fingertips together.,https://d2drp7fo8uq4gv.cloudfront.net/4b7b7e12-20c8-48e6-a5f8-95be2df10c12.mp4,activity
3,your,Possessive pronoun meaning belonging to you.,"With your palm oriented forward, away from yourself, move your hand slightly forward.",https://d2drp7fo8uq4gv.cloudfront.net/f66cdfdd-6e6f-4882-962a-60ea769d0abe.mp4,pronouns
172,meat,Animal flesh as food.,"Begin with your dominant hand on top of the index finger side of your non-dominant hand with your thumb and index fingers grabbing onto your other hand. Then, move your hands slightly forward a couple of times.",https://d2drp7fo8uq4gv.cloudfront.net/66ee2bf4-a3d4-4f7a-8b1a-5d89b78786a9.mp4,food & drink
196,flower,Blooming part of a plant.,Place your fingertips on the cheek closer to your hand and then move your fingertips over to your other cheek.,https://d2drp7fo8uq4gv.cloudfront.net/dd2df5e0-2e7b-457e-9d21-b3d349739e4f.mp4,plant
194,monkey,Primate known for agility.,"Begin with your hands pointing down and placed next to the sides of your chest. Then, bring your fingers into contact with your chest a couple of times, while curling in your fingertips.",https://d2drp7fo8uq4gv.cloudfront.net/b06eaee1-d25d-44ea-9cf4-13fd0a2fd058.mp4,animal
169,artist,Person who creates art.,"Sign ""art"" then ""person"".",https://d2drp7fo8uq4gv.cloudfront.net/09ce7d23-08ee-4015-bce8-27ded2a6e160.mp4,job
10,man,An adult male person.,"Begin with your hand in an ""A"" handshape, with your thumb touching your forehead. Then, bring your hand down and touch your thumb on the center of your chest, and changing your handshape to a ""5"" handshape a you move down.",https://d2drp7fo8uq4gv.cloudfront.net/6afaeba4-c8cc-4a71-a20c-cbbaf0db4b1d.mp4,people
83,support,Provide assistance or backing.,Place both hands in front of you with your dominant hand underneath your non-dominant hand. Tap the top of your dominant hand against the bottom of your non-dominant hand,https://d2drp7fo8uq4gv.cloudfront.net/4611cd76-297f-4e98-80f3-731e11c033c5.mp4,activity
60,stop,Cease movement or action.,Place the pinkie side of your dominant hand on the palm of your non-dominant hand.,https://d2drp7fo8uq4gv.cloudfront.net/d72fd816-2d45-446d-9ed3-c7a32110de78.mp4,activity
183,juice,Drink made from fruit.,"With your hand in front of you, oriented to the inside, and your pinkie pointing away from you, slightly wiggle your wrist back and forth a few times.",https://d2drp7fo8uq4gv.cloudfront.net/117b188e-2a77-4a8b-a955-3c615558c879.mp4,food & drink
50,tomorrow,The day after today.,"Begin with your thumb touching the side of your chin with your palm oriented forward. Then, rotate your wrist forward until your thumb is pointing up.",https://d2drp7fo8uq4gv.cloudfront.net/34628485-6f9c-4fd2-bd14-5c56842b6faf.mp4,time
152,wallet,Small folding case for money.,"Begin with both hands next to each other with the palm side of each hand against each other in front of you. Then, keeping the fingertips of your hands together, move your palms away from each other, mimicking a wallet opening up.",https://d2drp7fo8uq4gv.cloudfront.net/3ad5ccac-359e-4c12-9696-5d9f477e74ec.mp4,thing
4,he/she,Third-person singular pronoun.,"To sign ""He,"" simply act as though you are tipping the brim of a hat. Bring your dominant hand up to your forehead with your fingers together and palm facing in, then move it slightly away from your forehead in a short, forward motion.",https://www.handspeak.com/word/h/he/he.mp4,pronouns
180,coffee,Beverage made from roasted beans.,"Begin with both hands in front of you with your dominant hand on top of your non-dominant hand. Then, move your dominant hand around in a circle on top of your non-dominant hand a couple of times.",https://d2drp7fo8uq4gv.cloudfront.net/6e3d10ab-9861-46e5-acd8-1f6e0dc372cd.mp4,food & drink
122,black,Darkest color from absence of light.,"Begin with your index finger pointing towards just past the far side of your forehead. Then, move your finger across your forehead.",https://d2drp7fo8uq4gv.cloudfront.net/30b4da51-468b-4ddf-b229-485f5b0dc40b.mp4,color
111,warm,Moderately hot.,"Begin with your hand in front of your mouth with your fingertips pointing at your mouth. Then, move your hand away from your mouth while opening up your handshape into a ""5"" handshape.",https://d2drp7fo8uq4gv.cloudfront.net/5f4ccf49-f148-419e-9dfe-e8fffd4a3958.mp4,attribute
61,visit,Go to see someone or someplace.,"Begin with both hands next to each other close to your chest with your palms oriented toward yourself. Then, move both hands in unison forward, away from yourself.",https://d2drp7fo8uq4gv.cloudfront.net/a1f2ceb1-1112-49c3-92e7-591fa56f2094.mp4,activity
109,hot,Having high temperature.,"Begin with your hand next to your face with your fingertips touching your cheek. Then, rotate your wrist while moving your hand away from your face.",https://d2drp7fo8uq4gv.cloudfront.net/5b108331-9c84-4f71-b6ea-e1e7110c60c1.mp4,attribute
12,friend,A person with whom one has a bond of mutual affection.,"Begin with your index fingers oriented toward each other, with your dominant hand oriented away from yourself and your non-dominant hand oriented toward yourself. Bring your index fingers toward each other until they make contact and then rotate your hands so that your palm orientations are reversed and then make contact with your index fingers again.",https://d2drp7fo8uq4gv.cloudfront.net/09cc6384-e34e-4a8a-970e-5ca9e654220d.mp4,people
79,take,Remove or acquire.,"Place your hand in front of you in a ""5"" handshape, then move it back toward yourself, while changing it to a ""S"" handshape.",https://d2drp7fo8uq4gv.cloudfront.net/ace9837c-8b32-45b8-be9b-b4041d64d79b.mp4,activity
11,woman,An adult female person.,"Begin with your the thumb of your hand touching your chin and your other fingers pointing up. Then, move your hand down and touch your thumb against the center of your chest.",https://d2drp7fo8uq4gv.cloudfront.net/8b4f4bd7-4bba-4238-abe7-2615738cffea.mp4,people
26,thank,Expression of gratitude.,"Begin with both hands next to each other in front of you with your palms oriented toward yourself, and your hands diagonal so that your fingers are pointing at your chin. The fingertips of your dominant hand should be touching your chin. Then, move your hands forward a couple of times.",https://d2drp7fo8uq4gv.cloudfront.net/d6e3efab-f310-49de-87a4-3e66e02a74d9.mp4,communication
47,Sunday,The seventh day of the week.,"Begin with both hands in front of you with your palms oriented away from yourself. Then, move both hands in a circle 2 times. The circle on both hands should begin by moving slightly down and then towards the other hand.",https://d2drp7fo8uq4gv.cloudfront.net/d2c0690e-1ab2-470e-835c-1544fb45120b.mp4,time
138,library,Place to borrow books.,"With your hand in front of you and oriented away from yourself, move your hand in a circle a couple of times.",https://d2drp7fo8uq4gv.cloudfront.net/166f52be-233e-46fe-923f-05c48204ac70.mp4,
67,buy,Acquire by paying.,Begin with your dominant hand on top of the palm of your non-dominant hand. Bring your dominant hand forward as if handing some money to someone.,https://d2drp7fo8uq4gv.cloudfront.net/d7861550-ced7-4737-ac90-68a44c387008.mp4,activity
41,Monday,The first weekday.,"WIth your hand in front of you in an ""M"" handshape and your palm oriented towards yourself, move your hand in a circular motion once or twice.",https://d2drp7fo8uq4gv.cloudfront.net/8094a4a9-6c64-47cc-a843-baab928161f9.mp4,time
107,big,Of large size.,"Begin with both hands next to each other in front of you and with your palms oriented toward each other. Then, move your hands away from each other, rotating your wrists back as you move so the your palms are oriented away from yourself at the end of the sign.",https://d2drp7fo8uq4gv.cloudfront.net/6f645b0a-c7af-4c24-bd55-12d22dc5c325.mp4,attribute
84,write,Form letters or words.,"Place your dominant hand down on the palm of your non-dominant hand and drag your fingers across your palm a couple of times, mimicking a writing motion.",https://d2drp7fo8uq4gv.cloudfront.net/ac317406-225a-4139-adeb-2ca9600d5f70.mp4,activity
146,desk,Piece of furniture with a writing surface.,"Place both arms horizontally in front of you with the arm of your dominant hand on top. Move the arm of your dominant hand slightly up and down a couple times, tapping the arm of your non-dominant hand.",https://d2drp7fo8uq4gv.cloudfront.net/b8cbffc1-e8ca-409a-bbfc-b1f88564a982.mp4,thing
80,bring,Carry toward the speaker.,Begin with both hands in front of you with your palms oriented upwards and your hands starting closer to the arm of your dominant hand. Then move your hands away from yourself.,https://d2drp7fo8uq4gv.cloudfront.net/5aa85d20-8ca3-4635-ba74-6e74d98e6482.mp4,activity
37,month,One of twelve divisions of a year.,"Place your non-dominant hand in front of you with your palm oriented away from yourself. Place the index finger of your dominant hand horizontally behind the top of the index finger of your non-dominant hand. Then, move your hand down the back of your index finger.",https://d2drp7fo8uq4gv.cloudfront.net/076a6621-3875-4a43-8409-a69e84ed6b0b.mp4,time
162,teacher,Person who educates others.,"This sign is a combination of the signs for ""teach"" and ""person"".",https://d2drp7fo8uq4gv.cloudfront.net/f5bc824f-9e6a-4574-b26a-77cbaa123d2b.mp4,job
102,happy,Feeling pleasure or contentment.,Begin with your hand in front of your chest with your palm oriented toward yourself and your fingers horizontal. Move your hand up and toward yourself a couple of times.,https://d2drp7fo8uq4gv.cloudfront.net/635d6537-9bd8-42f2-86b0-5ab1fc1c9b79.mp4,feeling
155,umbrella,Portable canopy for rain.,"Begin with your dominant hand above your non-dominant hand, and then tap the pinkie side of your dominant hand on the thumb side of your non-dominant hand a couple of times.",https://d2drp7fo8uq4gv.cloudfront.net/365cb49a-85d7-4ad0-9d22-1aa9f456634e.mp4,thing
166,lawyer,Legal professional.,"This sign is a combination of the signs for ""law"" and ""person"".",https://d2drp7fo8uq4gv.cloudfront.net/830bdf86-9c61-44c8-b738-de7d4b56b9f8.mp4,job
136,store,Place where goods are sold.,"Begin with both hands next to each other in front of you with your fingertips pointing down. Then, rotate your hands slightly forward a couple of times.",https://d2drp7fo8uq4gv.cloudfront.net/414db165-862f-4cb8-a832-3f22902e83c5.mp4,place
100,open,Move to allow access.,"Begin with both hands next to each other in front of you with your fingers pointing away from you and your hands in a horizontal position. Rotate your wrists up and move your hands away from each other, ending with your palms oriented toward each other.",https://d2drp7fo8uq4gv.cloudfront.net/0415d43b-bb5b-4066-9eed-c367255ad3ee.mp4,activity
82,help,Assist someone.,Place your non-dominant hand in front of you with your palm orientation facing up. Your dominant hand should begin slightly above your non-dominant hand with your thumb facing up. The movement of this sign is done by tapping your dominant hand on your non-dominant hand 2 times.,https://d2drp7fo8uq4gv.cloudfront.net/e6bc052f-7bc5-4a71-aaa7-a094954c0896.mp4,activity
121,white,Color of snow or milk.,"Begin with your fingertips against your chest, then move your hand up to your face while opening up your handshape into a ""5"" handshape.",https://d2drp7fo8uq4gv.cloudfront.net/70b12ec1-2f25-4187-9362-223cac41b0e6.mp4,color
30,day,A 24-hour period.,Begin with your non-dominant hand underneath the elbow of your dominant hand. The forearm of your dominant hand should be vertical and your dominant hand should be oriented toward yourself. Move your forearm down until your dominant hand is on top of the forearm of your non-dominant hand.,https://d2drp7fo8uq4gv.cloudfront.net/a2cf2583-22fe-4919-b35d-b9e16eccad87.mp4,time
0,I/me,Personal pronoun referring to oneself.,"Using an ""I"" handshape, begin with your hand away from yourself and bring it in until you touch your chest.",https://d2drp7fo8uq4gv.cloudfront.net/bd9841c2-0ab4-4bdf-b36c-950c34d30d1e.mp4,pronouns
59,stay,Remain in place.,"Begin with both hands next to each other with your palms oriented down and your thumbs touching each other. Then, move your dominant hand down.",https://d2drp7fo8uq4gv.cloudfront.net/bf12a1f2-6677-417f-830e-8ab72cdbdded.mp4,activity
27,sorry,Apology or regret.,Begin with your hand against your chest with your palm oriented towards yourself. Move your hand in a circular motion around your chest once or twice.,https://d2drp7fo8uq4gv.cloudfront.net/a9f2ba3d-fd41-4347-9c6c-657fd532f7d2.mp4,communication
161,dentist,Doctor specializing in teeth.,Place your hand in front of the side of your mouth with your index finger pointing up and your hand oriented toward yourself. Tap your hand against the side of your mouth with your fingertips 2 times.,https://d2drp7fo8uq4gv.cloudfront.net/880c3544-6119-4e40-a443-74ab60562d71.mp4,job
132,here,In this place.,"Begin with both hands in front of you with your palms oriented up and your fingers pointing away from you. Then, move your hands toward each other a couple of times.",https://d2drp7fo8uq4gv.cloudfront.net/2d849f5a-7db1-48d3-bb38-1ba28639fe32.mp4,preposition
134,home,Place where one lives.,Begin with the fingertips against the side of your chin and then move your hand up and place your fingertips higher up on your face.,https://d2drp7fo8uq4gv.cloudfront.net/358ccf5d-a8d4-4fad-b676-4c42ddb1602d.mp4,place
175,vegetable,Edible plant.,"Begin with your index finger touching the side of your mouth, then move your hand off of your face and rotate your wrist to the inside and touch your middle finger on the side of your mouth.",https://d2drp7fo8uq4gv.cloudfront.net/2a4affc8-25d9-4699-b3fd-bfb4bf18ee91.mp4,food & drink
58,sit,Rest on a seat.,Place the curled index and middle fingers of your dominant hand over the extended index and middle fingers of your non-dominant hand.,https://d2drp7fo8uq4gv.cloudfront.net/ad1dd297-59d6-445f-b896-768d7e1b7021.mp4,activity
75,practice,Repeated exercise to improve skill.,"Place both hands in front of you, with the index finger of your non-dominant hand horizontal and the curled fingers of your dominant hand on top of the index finger. Then slide your dominant hand from side to side a couple of times while staying in contact with your index finger.",https://d2drp7fo8uq4gv.cloudfront.net/a0496dd9-f931-4288-a386-fdc64eddfad2.mp4,activity
135,school,Institution for education.,"Begin with both hands in front of you with the palm of your non-dominant hand facing up and the palm of your dominant hand facing down. Then, bring your dominant hand down and tap your palms together 2 times.",https://d2drp7fo8uq4gv.cloudfront.net/ed708cdb-9edf-492c-940f-0f835aa5103d.mp4,place
142,beach,Sandy shore by a body of water.,"Begin with both hands in front of you with your non-dominant hand oriented downward. Start with your dominant hand slightly above and behind your non-dominant hand. Bring it forward, passing over the back of your non-dominant hand 2 times. Wiggle all of your fingers except for your thumb as you move your dominant hand. This sign mimics waves crashing against a beach.",https://d2drp7fo8uq4gv.cloudfront.net/2f76bfe6-eef1-47e4-b149-09a66a151d28.mp4,
176,fruit,Edible sweet plant product.,Place the tips of your thumb and index fingers against the side of your mouth and rotate your wrist slightly back and forth a couple of times.,https://d2drp7fo8uq4gv.cloudfront.net/d5192f89-db66-4542-9bb2-3c92ec91793f.mp4,food & drink
163,engineer,Professional designing systems or structures.,"Begin with both hands in a ""Y"" handshape. Your hands should be in front of you with your thumbs touching. Then, with your thumbs still together, rotate your dominant hand wrist so that your pinkie moves downwards a couple of times.",https://d2drp7fo8uq4gv.cloudfront.net/d8bf7e8e-49b8-4f0a-982f-cfa22f4b4130.mp4,job
128,with,Together or accompanied by.,"Begin with both hands next to each other with palm oriented toward each other. Then, bring your hands toward each other until they make contact.",https://d2drp7fo8uq4gv.cloudfront.net/9e11355a-667e-4f75-b883-23ea103748ad.mp4,preposition
145,chair,A seat for one person.,Begin with both hands in front of you with the index and middle fingers of your dominant hand slightly above the index and middle fingers of your non-dominant hand. Move your dominant hand down onto your non-dominant hand 2 times. This sign mimics someone sitting on a chair.,https://d2drp7fo8uq4gv.cloudfront.net/4d6afec7-3d77-42dd-88f4-d7f748af1988.mp4,thing
153,key,Metal instrument for locks.,"Press your index finger of your dominant hand against the palm of your non-dominant hand. Then, rotate the wrist of your dominant hand back and forth a couple of times.",https://d2drp7fo8uq4gv.cloudfront.net/5c1b2a67-179f-4269-802d-288f67cda404.mp4,thing
178,cake,Sweet baked dessert.,"Begin with both hands in front of your with your dominant hand on top of your non-dominant hand and your palms oriented toward each other. Then, move your dominant hand up. This sign mimics the shape of a slice of cake.",https://d2drp7fo8uq4gv.cloudfront.net/c4d16c0a-cd2e-45ac-87e0-7debdf7c7f8b.mp4,food & drink
114,hard,Not easy; requiring effort.,"Begin with your dominant hand above the back of your non-dominant hand. Then, bring your dominant hand down until the pinkie side of your dominant hand makes contact with the back of your non-dominant hand.",https://d2drp7fo8uq4gv.cloudfront.net/53cc9b90-521a-4a39-84cf-b3f7881a868b.mp4,attribute
81,clean,Remove dirt or mess.,"With both hands oriented towards each other, slide your dominant hand across the palm of your non-dominant hand a couple of times.",https://d2drp7fo8uq4gv.cloudfront.net/63c7467f-3668-47a4-87d4-70f53d68f275.mp4,activity
